id,host_is_superhost,neighbourhood_group_cleansed,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
43124960,f,Queens,1,0.0,1.0,4.0,58,1,30,60,90,364,9,3.44,9.0
43124979,f,Queens,2,0.0,1.0,1.0,157,1,26,54,74,74,72,4.42,12.49
43125802,f,Brooklyn,2,0.0,1.0,1.0,120,7,11,11,11,11,1,5.0,0.07
43126400,t,Brooklyn,4,0.0,2.0,3.0,115,30,0,7,20,80,4,4.75,0.33
43127075,f,Manhattan,2,0.0,1.0,1.0,50,30,0,0,0,60,1,5.0,0.06
43130098,f,Manhattan,3,0.0,1.0,2.0,293,30,30,60,90,365,0,0.0,0.0
43130244,f,Manhattan,3,0.0,1.0,2.0,293,30,30,60,90,365,0,0.0,0.0
43131075,f,Manhattan,1,0.0,1.0,1.0,59,30,0,0,0,271,3,4.67,0.22
43131145,f,Brooklyn,1,0.0,1.0,1.0,43,30,0,0,0,258,0,0.0,0.0
43131415,f,Brooklyn,1,0.0,1.0,1.0,61,30,7,37,67,342,1,4.0,0.08
43131502,t,Brooklyn,1,0.0,1.0,1.0,60,30,0,1,31,306,3,4.33,0.27
43132225,f,Manhattan,1,0.0,1.0,1.0,45,30,1,5,30,305,0,0.0,0.0
43133577,f,Brooklyn,3,0.0,1.0,3.0,23,30,0,0,0,0,2,4.5,0.16
43134678,f,Manhattan,4,0.0,2.0,2.0,220,240,23,53,83,358,0,0.0,0.0
43138585,f,Brooklyn,2,0.0,1.0,0.0,125,30,29,59,89,89,0,0.0,0.0
43141206,f,Manhattan,2,0.0,0.0,1.0,150,175,26,55,85,358,0,0.0,0.0
43141435,f,Brooklyn,1,0.0,1.0,1.0,45,30,12,42,72,347,2,2.5,0.29
43142085,f,Brooklyn,5,0.0,3.0,5.0,170,1,24,54,84,359,25,4.28,1.56
43143734,f,Brooklyn,1,0.0,1.0,1.0,54,30,0,0,0,92,2,4.5,0.17
